Numer osobnika,Gatunek,Data z³apania,Waga samicy (mg),Waga kokonu (mg),Liczba jaj,Liczba prelarw/ embryo,Liczba larw/ juvenile,Liczba nimf,Liczba potomstwa ogó³em,Parazytoid TAK/NIE,Parazytoid stadium,D³ugoœæ g³owotu³owia [µm],Szerokoœæ g³owotu³owia [µm],Pomiar kokonu I [µm],Pomiar kokonu II [µm],Populacja
MIC_1,Pardosa lugubris,5/24/2019,20.3,16.7,40,,,,40,NIE,,2786,2048,3886,3476,MIC
MIC_2,Pardosa lugubris,5/24/2019,20.1,15.2,35,,,,35,NIE,,2779,2066,3994,3737,MIC
MIC_3,Pardosa lugubris,5/24/2019,19.5,16.2,8,,,,8,NIE,,2649,2061,3739,3166,MIC
MIC_4,Pardosa lugubris,5/24/2019,19.6,19.3,40,,,,40,NIE,,2773,2085,3927,3793,MIC
MIC_5,Pardosa lugubris,5/24/2019,19,14.8,38,,,,38,NIE,,2597,1948,3958,3479,MIC
MIC_6,Pardosa lugubris,5/24/2019,22.4,16.9,42,,,,42,NIE,,2760,2153,4385,3642,MIC
MIC_8,Pardosa lugubris,5/24/2019,21.9,16.7,45,,,,45,NIE,,2922,2243,4032,4013,MIC
MIC_9,Pardosa lugubris,5/24/2019,17.5,14.8,38,,,,38,NIE,,2243,2017,3848,3390,MIC
MIC_11,Pardosa lugubris,5/24/2019,14.6,12.6,25,,,,25,NIE,,2496,1829,3478,3380,MIC
MIC_12,Pardosa lugubris,5/24/2019,25.5,22.1,51,,,,51,NIE,,3002,2337,4196,4121,MIC
MIC_13,Pardosa lugubris,5/24/2019,14.1,11.4,29,,,,29,NIE,,2474,1901,3671,3523,MIC
MIC_14,Pardosa lugubris,5/24/2019,20.6,20.8,45,,,,45,NIE,,2945,2214,4062,4056,MIC
MIC_15,Pardosa lugubris,5/24/2019,23.4,20.9,47,,,,47,NIE,,2860,2224,4111,4056,MIC
MIC_16,Pardosa lugubris,5/24/2019,16.4,11.7,30,,,,30,NIE,,2817,2123,3514,3176,MIC
MIC_18,Pardosa lugubris,5/24/2019,19.2,15.2,31,,,,31,NIE,,2754,2037,4001,3499,MIC
MIC_19,Pardosa lugubris,5/24/2019,21.1,17,39,,,,39,NIE,,2779,2180,4036,3885,MIC
MIC_20,Pardosa lugubris,5/24/2019,20,16.1,36,,,,36,NIE,,2748,2082,3997,3490,MIC
MIC_21,Pardosa lugubris,5/24/2019,20.8,14.9,36,,,,36,NIE,,2800,2124,3847,3568,MIC
MIC_22,Pardosa lugubris,5/24/2019,18.5,15.7,40,,,,40,NIE,,2723,2051,3713,3675,MIC
MIC_23,Pardosa lugubris,5/24/2019,17.7,18,34,,,,34,NIE,,2666,2030,4023,3826,MIC
MIC_3,Pardosa lugubris,6/7/2019,23,21.9,,51,,,51,NIE,,2925,2195,4461,3933,MIC
MIC_4,Pardosa lugubris,6/7/2019,21.4,23.7,,,39,,39,NIE,,2793,2095,4503,4319,MIC
MIC_7,Pardosa lugubris,6/7/2019,25.8,26.5,48,,,,48,NIE,,2995,2266,3958,3866,MIC
MIC_8,Pardosa lugubris,6/7/2019,16.7,14.8,,,42,,42,NIE,,2795,2159,4333,3968,MIC
MIC_10,Pardosa lugubris,6/7/2019,19,22.3,,,49,,49,NIE,,2797,2391,4603,4327,MIC
MIC_11,Pardosa lugubris,6/7/2019,17.5,14.3,,,42,,42,NIE,,2655,2233,4128,4072,MIC
MIC_12,Pardosa lugubris,6/7/2019,14,15.9,41,,,,41,NIE,,2695,2031,3949,3757,MIC
MIC_13,Pardosa lugubris,6/7/2019,13.8,14.3,,,38,,38,NIE,,2504,1922,3723,3722,MIC
MIC_14,Pardosa lugubris,6/7/2019,11.8,5.3,,,31,,31,NIE,,2447,1916,4062,3891,MIC
MIC_15,Pardosa lugubris,6/7/2019,14.3,14.3,,,40,,40,NIE,,2591,2044,4129,3768,MIC
MIC_16,Pardosa lugubris,6/7/2019,12.8,13.9,,42,,,42,NIE,,2630,2114,4138,3653,MIC
MIC_17,Pardosa lugubris,6/7/2019,9.1,8.9,,34,,,34,NIE,,2411,1940,3832,3628,MIC
MIC_19,Pardosa lugubris,6/7/2019,13,15.2,32,,,,32,NIE,,2547,1968,4117,3876,MIC
MIC_5,Pardosa lugubris,6/21/2019,16.1,19.5,,,,42,42,NIE,,2543,1956,4422,4126,MIC
MIC_9,Pardosa lugubris,6/21/2019,19,8.6,15,,7,,22,NIE,,2657,2100,3596,3482,MIC
MIC_10,Pardosa lugubris,6/21/2019,16.9,11.8,,,?,,,TAK,LARWA,2764,2135,3977,3616,MIC
MIC_14,Pardosa lugubris,6/21/2019,17.4,12.6,,,30,,30,NIE,,2707,2085,3676,3529,MIC
MIC_16,Pardosa lugubris,6/21/2019,18.2,13.8,35,,,,35,NIE,,2740,2110,3665,3621,MIC
MIC_17,Pardosa lugubris,6/21/2019,16.5,12.5,,,30,,30,NIE,,2717,2129,3825,3740,MIC
MIC_20,Pardosa lugubris,6/21/2019,,,,,,,,TAK,IMAGO,2898,2174,,,MIC
MIC_1,Pardosa lugubris,7/8/2019,16.9,6.3,,,,,,TAK,POCZWARKA,2603,2095,4744,2806,MIC
MIC_2,Pardosa lugubris,7/8/2019,15.4,10.2,,20,,,20,NIE,,2527,1915,3696,3143,MIC
MIC_4,Pardosa lugubris,7/8/2019,18.8,9.9,,26,,,26,NIE,,2757,2079,3676,3255,MIC
MIC_5,Pardosa lugubris,7/8/2019,14.6,7.9,,,20,,20,NIE,,2559,1969,3608,3328,MIC
MIC_6,Pardosa lugubris,7/8/2019,18.3,7.8,,18,,,18,NIE,,2646,2070,3624,2917,MIC
MIC_7,Pardosa lugubris,7/8/2019,13.3,5.2,,,,,,TAK,POCZWARKA,2439,1863,3528,2496,MIC
MIC_8,Pardosa lugubris,7/8/2019,16.6,10.2,,27,,,27,TAK,LARWA,2724,2076,3762,3577,MIC
MIC_9,Pardosa lugubris,7/8/2019,19.3,13.1,37,,,,37,NIE,,2830,2126,3970,3607,MIC
MIC_10,Pardosa lugubris,7/8/2019,20.6,9.4,,?,?,,,TAK,LARWA,2793,2187,3849,3624,MIC
MIC_11,Pardosa lugubris,7/8/2019,17.2,11.2,,,29,,29,NIE,,2645,2085,3680,3517,MIC
MIC_12,Pardosa lugubris,7/8/2019,18.1,12,,,30,,30,NIE,,2646,2195,3883,3719,MIC
MIC_13,Pardosa lugubris,7/8/2019,15.1,9.6,,25,,,25,NIE,,2396,1952,3511,3440,MIC
MIC_14,Pardosa lugubris,7/8/2019,16.1,9.9,27,,,,27,NIE,,2618,2000,3881,3379,MIC
MIC_15,Pardosa lugubris,7/8/2019,21.4,11.2,31,,,,31,NIE,,2862,2232,3618,3590,MIC
MIC_16,Pardosa lugubris,7/8/2019,16.4,12.5,,,29,,29,NIE,,2553,2029,3880,3724,MIC
MIC_17,Pardosa lugubris,7/8/2019,23.9,16.9,,,35,,35,NIE,,2883,2238,4189,4062,MIC
MIC_19,Pardosa lugubris,7/8/2019,20,6.8,,,,,,TAK,LARWA,2806,2177,4548,3658,MIC
MIC_1,Pardosa lugubris,7/12/2019,19.8,6.6,,,,,,TAK,POCZWARKA,2724,2150,4148,2777,MIC
